,title,company_name,location,description,details_page_link
11,"[Yc] Mobile App Developer (Android) Jelutong, Penang (Ref no.42353)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Penang - Jelutong,"
✨ Expertise in Mobile App Development (Android)?✨ If yes, please come and join us now!!! ✔️ Business Nature: IT/Telecommunications ✔️ Job Scope: •... ",https://www.jobstreet.com.my/en/job/yc-mobile-app-developer-android-jelutong-penang-ref-no42353-4059072?fr=21&searchRequestToken=5d1c1da9-1ef2-4c61-b168-c7feb4a3e73b&sectionRank=11
12,Application Developer (ASP.Net),Plexus Manufacturing Sdn Bhd,Penang,"
Responsibilities:• Responsible for the development, maintenance, testing and quality assurance of ASP.Net web applications.• Require... ",https://www.jobstreet.com.my/en/job/application-developer-aspnet-4041557?fr=21&searchRequestToken=5d1c1da9-1ef2-4c61-b168-c7feb4a3e73b&sectionRank=12
13,Senior SAP ABAP Developer / Advisor,Celestica,Penang - One Precinct - Penang,"
Responsibilities Work with functional and other teams to understand business requirements and translate into technical specifications and solutions in accordance with client standards and architecture. Knowledge and ability to design and develop test plans for executing unit, integration, system,... ",https://www.jobstreet.com.my/en/job/senior-sap-abap-developer-advisor-4058731?fr=21&searchRequestToken=5d1c1da9-1ef2-4c61-b168-c7feb4a3e73b&sectionRank=13
14,Software Engineer (Hadoop Developer),Dell Global Business Center Sdn Bhd,Penang,"
The EBI Reliability Engineering team focuses on the performance and stability of the data platform that underpins Dell’s analytics and business... ",https://www.jobstreet.com.my/en/job/software-engineer-hadoop-developer-4039566?fr=21&searchRequestToken=5d1c1da9-1ef2-4c61-b168-c7feb4a3e73b&sectionRank=14
15,Oracle Application Developer,iSolutions PLT,Penang - Bayan Baru,"
Job Descriptions Building high engaging and rich web applications & Mobile Application. Setup and configure SaaS / PaaS (Oracle Cloud). Involve in... Skills - oarcle sql, adf, soa,  Oracle  Apex,  oracle  fusion ",https://www.jobstreet.com.my/en/job/oracle-application-developer-4022380?fr=21&searchRequestToken=5d1c1da9-1ef2-4c61-b168-c7feb4a3e73b&sectionRank=15
16,Developer: Java Application - IV,Kelly Contingent Workforce Recruitment Penang,Bayan Lepas (Penang),"
 Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology or equivalent. Preferably Senior Executives specializing in IT/Computer - Network/System/Database Admin or equivalent. Contract position(s) available. Job... ",https://www.jobstreet.com.my/en/job/developer-java-application-iv-4056783?fr=21&searchRequestToken=5d1c1da9-1ef2-4c61-b168-c7feb4a3e73b&sectionRank=16
17,[Yc] Web PHP Developer (Penang) (Junior) Bayan Lepas (Ref no.44087),Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Bayan Lepas (Penang),"
✨ Have at least 1 year working experience in PHP Web Development?✨ If yes, please come and join us now!!! ✔️ Business Nature: Web/Mob... ",https://www.jobstreet.com.my/en/job/yc-web-php-developer-penang-junior-bayan-lepas-ref-no44087-4056709?fr=21&searchRequestToken=5d1c1da9-1ef2-4c61-b168-c7feb4a3e73b&sectionRank=17
18,Software Developer / Software Engineer / Programmer,META Research Sdn Bhd,"Johor, Kedah, Kelantan, Kuala Lumpur, Melaka, Negeri Sembilan, Pahang, Penang, Perak, Selangor","
Career Opportunities: Back End Developer, Front End Developer, Web Developer, Mobile App Developer, .NET Developer, Full Stack Developer, Image... ",https://www.jobstreet.com.my/en/job/software-developer-software-engineer-programmer-4056412?fr=21&searchRequestToken=5d1c1da9-1ef2-4c61-b168-c7feb4a3e73b&sectionRank=18
19,Software Developer / Engineer / Programmer (C# / Java / PHP / SQL),Agensi Pekerjaan CareerMaster Sdn Bhd,"Johor, Kedah, Kelantan, Kuala Lumpur, Labuan, Melaka, Negeri Sembilan, Pahang, Penang, Perak, Perlis, Putrajaya, Sabah, Sarawak, Selangor, Terengganu","
JOB RESPONSIBILITIES: Collaborate with Principal to transition trading ideas from theoretical to proof of concept. Develop fully functional trading algorithms using commercial API's. Rigorous backtesting, and simulations, to assess viability of algorithms. Keep abreast of new developments in... ",https://www.jobstreet.com.my/en/job/software-developer-engineer-programmer-c-java-php-sql-4056121?fr=21&searchRequestToken=5d1c1da9-1ef2-4c61-b168-c7feb4a3e73b&sectionRank=19
20,Web Developer,Tinnolab Sdn Bhd,Bayan Lepas (Penang),"
 Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in Computer Science/Information Technology or equivalent. At least 2 Year(s)... Skills - PHP, Laravel, HTML, AJAX, JSON ",https://www.jobstreet.com.my/en/job/web-developer-4055814?fr=21&searchRequestToken=5d1c1da9-1ef2-4c61-b168-c7feb4a3e73b&sectionRank=20
21,Mobile App Developer,Tinnolab Sdn Bhd,Bayan Lepas (Penang),"
Responsibilities Design, develop and maintain the existing and / or new mobile application. Position available for Android, iOS and React Native. Work... Skills - Objective C, SWIFT, iOS, Android, Java, JSON, REST, SOAP, Websocket Secure (WSS) Service ",https://www.jobstreet.com.my/en/job/mobile-app-developer-4055804?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=21
22,Mobile App Developer,Tinnolab Sdn Bhd,Bayan Lepas (Penang),"
Responsibilities Design, develop and maintain the existing and / or new mobile application. Position available for Android, iOS and React Native. Work... Skills - Objective C, SWIFT, iOS, Android, Java, JSON, REST, SOAP, Websocket Secure (WSS) Service ",https://www.jobstreet.com.my/en/job/1
23,Senior Mobile Application Developer - iOS / Android (5 Positions),www.easybook.com (EASYBOOK (M) SDN BHD),"Butterworth (Penang), Kuala Lumpur","
 Deliver across the complete Android/iOS development life cycle - concept, design, build, test, and release to apps stores and support. Gather... ",https://www.jobstreet.com.my/en/job/senior-mobile-application-developer-iosandroid-5-positions-4036070?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=22
24,Web Dynpro Developer,OSRAM Opto Semiconductors (Malaysia) Sdn Bhd,Penang,"
Job Description:• Work with functional and/or with business users to understand business requirements and translate into technical specifications... ",https://www.jobstreet.com.my/en/job/web-dynpro-developer-4036000?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=23
25,Application Developer,Marvel Media Sdn Bhd,Penang,"
If you are passionate in delivering the BEST IT expertise (in Telco) just like we do and enjoy working in a competitive + fun environment then our... ",https://www.jobstreet.com.my/en/job/application-developer-4042828?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=24
26,Senior Application Developer (ASP.Net),Plexus Manufacturing Sdn Bhd,Penang,"
Job Responsibilities: Responsible for the development, maintenance, testing and quality assurance of ASP.Net web applications. Require to prepare... ",https://www.jobstreet.com.my/en/job/senior-application-developer-aspnet-4054358?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=25
27,"[J] Android Developer,Butterworth, 3k-6k!! (Ref: 46032)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Penang - Butterworth,"
✨ Experienced in developing android software (using Java & Android Studio)???✨ Passionate in Android Development??? ✨ If yes, please come and j... ",https://www.jobstreet.com.my/en/job/j-android-developerbutterworth-3k-6k-ref-46032-4054357?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=26
28,"[J] IOS Developer, Butterworth, 3k-6k!  (Ref: 46031)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Penang - Butterworth,"
✨ Do you have at least 1 year experience in Developing IOS mobile application (using Swift & Xcode)??✨ If yes, please come and join us now... ",https://www.jobstreet.com.my/en/job/j-ios-developer-butterworth-3k-6k-ref-46031-4054354?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=27
29,Software Developer,EPS Malaysia,"Bayan Lepas (Penang), George Town (Penang), Petaling Jaya (Selangor)","
 Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology, Engineering (Computer/Telecommunication) or equivalent. Required skill(s): Java, Visual Basic, HTML, JavaScript, ASP.NET, CSS. Required language(s): Bahasa... ",https://www.jobstreet.com.my/en/job/software-developer-4054217?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=28
30,Web Developer / Programmer,CHIANG HENG GOLD & DIAMOND S/B,Butterworth (Penang) - Jalan Ong Yi  How,"
Job Responsibilities- Responsible for maintaining / developing web applications by doing system based designing and customizing system application and... ",https://www.jobstreet.com.my/en/job/web-developer-programmer-4052967?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=29
31,PHP / Laravel Developer (5 Positions),SiteGiant Sdn. Bhd.,Penang,"
 Are you the most hardworking and motivated employee but working under the shadow of someone who is less aggressive and lacking?. Are you tired of... Skills - JavaScript, MYSQL ",https://www.jobstreet.com.my/en/job/php-laravel-developer-5-positions-4040281?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=30
32,"[SY] Mobile App Developer (iOS), Bayan Lepas, 3.5k-6k!! (Ref: 42782)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Bayan Lepas (Penang),"
✨ Well versed in iOS Mobile App Development?✨ If yes, please come and join us now!!! ✔️ Job Scope: Design, develop and maintain the existing and / ... ",https://www.jobstreet.com.my/en/job/sy-mobile-app-developer-ios-bayan-lepas-35k-6k-ref-42782-4053900?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=31
33,"[SY]Mobile App Developer (Android), Bayan Lepas, 3.5k-6k! (Ref: 42784)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Penang - Bayan Lepas,"
✨ Do you have At least 2 years in Android Mobile App Development??✨ Possess knowlege with JAVA, Android, JSON, REST, or SOAP, and Websocket Secure ... ",https://www.jobstreet.com.my/en/job/symobile-app-developer-android-bayan-lepas-35k-6k-ref-42784-4053898?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=32
34,[Yc] Software Developer (Project Team) (C#.NET) Bayan Lepas (Ref no.46323),Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Bayan Lepas (Penang),"
✨ Have at least 1.5 years of Software Developer experience in C# & .NET (dotNET)?✨ Seeking for job that has stable working hours?✨ If yes, plea... ",https://www.jobstreet.com.my/en/job/yc-software-developer-project-team-cnet-bayan-lepas-ref-no46323-4053817?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=33
35,[Yc] PHP Full Stack Developer (Bayan Lepas) up to 5k!! (Ref no.43778),Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Bayan Lepas (Penang),"
✨ Have at least 1 to 3 years of Software development experience in PHP?✨ Knowledge of web technologies, output, and languages, such as HTML5, CSS... ",https://www.jobstreet.com.my/en/job/yc-php-full-stack-developer-bayan-lepas-up-to-5k-ref-no43778-4053788?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=34
36,"[Yc] Mobile App Developer (Android) Jelutong, Penang (Ref no.42353)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Penang - Jelutong,"
✨ Expertise and experiential in Mobile App Development (Android)?✨ If yes, please come and join us now!!! **Open for Foreign candidate who are looking ... ",https://www.jobstreet.com.my/en/job/yc-mobile-app-developer-android-jelutong-penang-ref-no42353-4053657?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=35
37,"[Yc] Application Developer [Senior] (PHP) Jelutong, up to 6k! (Ref no.42578)",Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Penang - Jelutong,"
✨ Expertise in PHP, MySQL, Javascript, Git?✨ Experience with Web development services: SOAP, JSON, XML and REST? ✨ If yes, please come and join... ",https://www.jobstreet.com.my/en/job/yc-application-developer-senior-php-jelutong-up-to-6k-ref-no42578-4053645?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=36
38,"Junior, Senior Application Developer (Web, Mobile, Full Stack) (2 Positions)",BIXZEE E-COMMERCE SDN. BHD.,Penang,"
 Analyze, design and develop web application using PHP (Laravel Framework) & MySQL based on requirement specifications from the team lead. Continuously building and enhancing the Bixzee platform. Diagnosing issues, providing solutions and performing bug fixes. Demonstrate commitment and... Skills - PHP, Laravel, Vue.js, Android, Swift, Objective-C, HTML, CSS, Bootstrap, MySQL, Linux ",https://www.jobstreet.com.my/en/job/junior-senior-application-developer-web-mobile-full-stack-2-positions-4033669?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=37
39,Market Developer (Sales Representative),Coca-Cola Refreshments Malaysia Sdn Bhd,Penang - Penang Mainland,"
Responsibilities: To develope key provision and key account outlets. The MD must be able to influence the daily actions, of the Distributors sales... ",https://www.jobstreet.com.my/en/job/market-developer-sales-representative-4052034?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=38
40,Senior FCT Developer (Penang Design Center),Plexus Manufacturing Sdn Bhd,Penang,"
Company OverviewThe Product Realization Company. Plexus uses a unique Product Realization service model to transform customer concepts into branded... ",https://www.jobstreet.com.my/en/job/senior-fct-developer-penang-design-center-4044971?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=39
41,Software Developer,Pegasus Automation Sdn Bhd,"Butterworth (Penang), Kuala Lumpur","
 Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree,... ",https://www.jobstreet.com.my/en/job/software-developer-4031760?fr=21&src=16&searchRequestToken=713789be-f5cc-440b-84da-75f8109ab3ff&sectionRank=40
42,Full Stack Senior Software Developer,TravelbyBit Sdn Bhd,Penang,"
Full Stack Senior Software Developer. . Are you an experienced Software Developer? Want to join a fast growing Technology Travel Company? We'd love to chat. Ideally we’re looking for someone who has work experience in developing travel platforms.. This is predominantly an... ",https://www.jobstreet.com.my/en/job/full-stack-senior-software-developer-4030787?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=41
43,Full Stack Senior Software Developer,TravelbyBit Sdn Bhd,Penang,"
Full Stack Senior Software Developer. . Are you an experienced Software Developer? Want to join a fast growing Technology Travel Company? We'd love to chat. Ideally we’re looking for someone who has work experience in developing travel platforms.. This is predominantly an... ",https://www.jobstreet.com.my/en/job/1
44,ITIL PLSQL Developer,OSRAM Opto Semiconductors (Malaysia) Sdn Bhd,Penang,"
Description:• Focus on ETL development through PL SQL • Develop complex database processes with PL/SQL containing ETL functionality... ",https://www.jobstreet.com.my/en/job/itil-plsql-developer-4031126?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=42
45,[Yc] React Native Developer (Android & IOS) Bayan Lepas (Ref no.46324),Agensi Pekerjaan Reeracoen Malaysia Sdn Bhd,Bayan Lepas (Penang),"
✨ Have at least 1 to 2 years experience as React Native Developer, specific for hybrid mobile application on various mobile platforms?✨ If yes, ple... ",https://www.jobstreet.com.my/en/job/yc-react-native-developer-android-ios-bayan-lepas-ref-no46324-4050273?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=43
46,PHP Application Developer,Agensi Pekerjaan CareerMaster Sdn Bhd,"Johor, Kedah, Kelantan, Kuala Lumpur, Labuan, Melaka, Negeri Sembilan, Pahang, Penang, Perak, Putrajaya, Selangor, Terengganu","
JOB RESPONSIBILITIES: Work with third party to fulfill project requirements and integration of services. Resolves and/or escalate issues in a timely fashion. Help develop documentation, processes, workflows, and checklists, as needed. Ability to work cross functionally with various teams &... ",https://www.jobstreet.com.my/en/job/php-application-developer-4050072?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=44
47,Oracle ERP Developer,UST Global (Malaysia) Sdn .Bhd.,Bayan Lepas (Penang),"
Extensive experiences with Oracle ERP PO, Inv, WIP, BOM and have done customizations, configuration and setup for these modules. Job Skills... ",https://www.jobstreet.com.my/en/job/oracle-erp-developer-4029893?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=45
48,System Developer,IQ Group Sdn. Bhd.,Penang - Bayan Lepas,"
Responsibilities: Responsible for delivery of full Software Development Life Cycle (SDLC) process activity for new system application. Responsible for... ",https://www.jobstreet.com.my/en/job/system-developer-4012920?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=46
49,RPA developer - (J2218887),Jabil Sdn Bhd,Penang - Bayan Lepas,"
At Jabil, we empower the brands who empower the world - it's our reason for being and the guiding force that's driving us to become the most... ",https://www.jobstreet.com.my/en/job/rpa-developer-j2218887-4047035?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=47
50,Mobile Apps Developer,EASYWORK ASIA SDN. BHD.,"Bayan Lepas (Penang) - Suntech Penang Cybercity,  Bayan Baru","
Responsibilities: As a member of our mobile engineering team, you will involve in various exciting mobile projects in EasyWork and Exabytes group,... ",https://www.jobstreet.com.my/en/job/mobile-apps-developer-4005454?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=48
51,Junior FCT Developer (Penang Design Center),Plexus Manufacturing Sdn Bhd,Penang,"
Company OverviewThe Product Realization Company. Plexus uses a unique Product Realization service model to transform customer concepts into branded... ",https://www.jobstreet.com.my/en/job/junior-fct-developer-penang-design-center-4045026?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=49
52,Junior Software Developer,Telebort Technologies Sdn Bhd (1187681-V),George Town (Penang),"
About the RoleTelebort looking for a talented and dedicated individual to join our team to build educational software and platform to further impact... ",https://www.jobstreet.com.my/en/job/junior-software-developer-4033563?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=50
53,Content Developer,Motorola Solutions Malaysia Sdn Bhd,Penang,"
Content Developer is responsible for creating, editing, and maintaining high quality, comprehensive subscriber documentation. Content developer can... ",https://www.jobstreet.com.my/en/job/content-developer-4043629?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=51
54,Software Developer,Purelogic Solution Sdn Bhd (KL),"Penang, Selangor","
Responsibilities: Support team members in the continuous effort to enhance and upgrade existing applications to support changes in the business... ",https://www.jobstreet.com.my/en/job/software-developer-4033585?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=52
55,"Senior Application Developer (Python, MySQL & JavaScript )",AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD,Penang - Perai - Mainland,"
Responsibilities• Shall be responsible to manage and monitor all installed systems and the Company’s overall IT infrastructure.• Shall be responsible to develop modules/programs to support and enhance the efficiency of the company operations system.• Shall be responsible... ",https://www.jobstreet.com.my/en/job/senior-application-developer-python-mysql-javascript-4042901?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=53
56,Software Developer II (Web / PRIME) (Based in KL),Agensi Pekerjaan CareerMaster Sdn Bhd,"Johor, Kedah, Kelantan, Kuala Lumpur, Labuan, Melaka, Negeri Sembilan, Pahang, Penang, Perak, Perlis, Putrajaya, Sabah, Sarawak, Selangor, Terengganu","
JOB RESPONSIBILITIES: (PRIME) Develop and test configuration scripts as per client requirements. Perform software development as per specifications. Abide to and enforce coding standards. Performing corrective measures for moderately complex code deficiencies and escalating alternative proposals as... ",https://www.jobstreet.com.my/en/job/software-developer-ii-web-prime-based-in-kl-4042164?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=54
57,Finance & Technology Full Stack Developer,Agensi Pekerjaan CareerMaster Sdn Bhd,"Johor, Kedah, Kelantan, Kuala Lumpur, Melaka, Negeri Sembilan, Pahang, Penang, Perak, Perlis, Putrajaya, Selangor, Terengganu","
JOB RESPONSIBILITIES: Own the overall development of features from technical design, implementation, to release. Work with project team to meet scheduled due dates, while identifying emerging issues and recommending solutions for problems and independently perform assigned tasks, perform production... ",https://www.jobstreet.com.my/en/job/finance-technology-full-stack-developer-4042101?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=55
58,Software Engineer - C# / Mobile / Web Developer,Web Bytes Sdn Bhd,Penang - Bayan Baru,"
With positive and supportive working environment, we embrace fast-paced development and believe in the power of unceasing innovation and great... Skills - Java, RESTful, SQLite, Swift Code, C#, Mysql, Mssql, RestAPI, DDD, ORM, .netcore,... ",https://www.jobstreet.com.my/en/job/software-engineer-c-mobile-web-developer-4040014?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=56
59,Software Developer Officer,UOB Kay Hian Securities (M) Sdn Bhd,Penang - Georgetown,"
Responsibilities Involve in creating new ideas for client-server, web and mobile solutions. Perform end-user requirement gathering and studies; and... ",https://www.jobstreet.com.my/en/job/software-developer-officer-4002469?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=57
60,Software Developer,BIXZEE E-COMMERCE SDN. BHD.,Bukit Mertajam (Penang),"
 Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent. Required language(s): English (Compulsory), Mandarin (Not compulsory), Bahasa Malaysia (Not... ",https://www.jobstreet.com.my/en/job/software-developer-internship-4036428?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=58
61,Web / Mobile / Windows Application Developer (Junior / Senior),Agensi Pekerjaan CareerMaster Sdn Bhd,"Johor, Kedah, Kelantan, Kuala Lumpur, Labuan, Melaka, Negeri Sembilan, Pahang, Penang, Perak, Perlis, Putrajaya, Sabah, Sarawak, Selangor, Terengganu","
JOB RESPONSIBILITIES: Work with third party to fulfill project requirements and integration of services. Resolves and/or escalate issues in a timely fashion. Help develop documentation, processes, workflows, and checklists, as needed. Ability to work cross functionally with various teams &... ",https://www.jobstreet.com.my/en/job/web-mobile-windows-application-developer-juniorsenior-4036217?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=59
62,IT Manufacturing Application Developer,Intel Technology Sdn. Bhd.,Penang,"
Our software engineers have the opportunity to touch the entire software ecosystem! In fact, by number of employees, we are one of the most... ",https://www.jobstreet.com.my/en/job/it-manufacturing-application-developer-4036026?fr=21&src=16&srcr=16&searchRequestToken=9cf3a987-3c6b-4b24-ca0f-a584cd62cf2b&sectionRank=60
